,ID,Brand,Model,Year,Color,Mileage,Price,Condition
0,1,Mazda,Generic Model 3,2003.0,Blue,22932.0,65732.0,New
1,2,Jaguar,Generic Model 2,2003.0,Silver,89937.0,58620.0,New
2,3,Land Rover,Generic Model 2,2022.0,Green,36616.0,50574.0,New
3,4,Porsche,Generic Model 2,1997.0,Black,82812.0,35436.0,Used
4,5,Land Rover,Generic Model 3,,Black,184616.0,63880.0,Used
5,6,Porsche,Generic Model 2,1997.0,Blue,96785.0,42794.0,New
6,7,Volvo,Generic Model 3,2003.0,Silver,177385.0,,Used
7,8,Chevrolet,Generic Model 3,1997.0,Blue,47226.0,31079.0,Used
8,9,Ford,Focus,2003.0,,176272.0,59437.0,Used
9,10,Hyundai,Generic Model 3,2014.0,Silver,6153.0,27767.0,New
10,11,Tesla,Generic Model 2,2009.0,Red,11396.0,38296.0,Used
11,12,Lexus,Generic Model 3,1992.0,Silver,69360.0,,New
12,13,Mercedes-Benz,Generic Model 3,2001.0,Silver,,14759.0,New
13,14,Lexus,Generic Model 2,1998.0,Red,56308.0,53734.0,Used
14,15,Chevrolet,Generic Model 3,1992.0,Red,47196.0,21061.0,
15,16,Subaru,Generic Model 2,1999.0,Green,,55023.0,Used
16,17,Volkswagen,,,Black,132033.0,11982.0,New
17,18,Audi,Generic Model 3,2001.0,Green,32418.0,44143.0,New
18,19,Subaru,Generic Model 3,,Green,,12448.0,Used
19,20,Audi,Generic Model 3,2008.0,White,22778.0,60963.0,New
20,21,Hyundai,Generic Model 2,2011.0,Blue,108954.0,14327.0,Used
21,22,Honda,Odyssey,1993.0,Green,118369.0,49451.0,New
22,23,Lexus,Generic Model 1,2019.0,Green,,5430.0,Used
23,24,Audi,Generic Model 3,2004.0,Blue,57114.0,21466.0,New
24,25,Porsche,,2019.0,Blue,87679.0,,Used
25,26,Land Rover,Generic Model 1,,Black,44748.0,,Used
26,27,Subaru,Generic Model 3,2000.0,,140899.0,15376.0,
27,28,Jaguar,Generic Model 2,,Red,124609.0,28389.0,New
28,29,Land Rover,Generic Model 2,2004.0,Blue,196885.0,,New
29,30,Jeep,,2004.0,,101125.0,62818.0,Used
30,31,Jeep,Generic Model 3,1990.0,Black,171553.0,,Used
31,32,Land Rover,Generic Model 2,2012.0,Red,,15953.0,Used
32,33,Jeep,Generic Model 1,2010.0,Red,11783.0,69408.0,Used
33,34,Mercedes-Benz,Generic Model 1,2014.0,,167933.0,14655.0,Used
34,35,Honda,Civic,2016.0,Blue,108181.0,47708.0,New
35,36,Jaguar,Generic Model 1,2006.0,Blue,101939.0,63085.0,
36,37,Chevrolet,Generic Model 3,1996.0,Green,,60362.0,New
37,38,Land Rover,,2005.0,Blue,,28426.0,Used
38,39,Ford,Focus,1994.0,Black,54474.0,,New
39,40,Jaguar,Generic Model 3,,Silver,181882.0,17168.0,New
40,41,Volvo,Generic Model 2,2005.0,,14423.0,,New
41,42,Mercedes-Benz,Generic Model 3,2014.0,Red,111223.0,79304.0,
42,43,Hyundai,Generic Model 2,2011.0,Blue,,63031.0,
43,44,Lexus,,2009.0,White,172687.0,9931.0,Used
44,45,BMW,Generic Model 2,1998.0,Blue,97040.0,,New
45,46,Nissan,,,Blue,12066.0,20581.0,Used
46,47,Honda,Pilot,2000.0,,132622.0,,New
47,48,Lexus,Generic Model 1,1998.0,Black,20314.0,,New
48,49,Subaru,Generic Model 2,2021.0,Red,57162.0,48195.0,New
49,50,Volvo,Generic Model 3,,Green,19812.0,51067.0,New
50,51,Jaguar,Generic Model 3,2010.0,Green,188355.0,19652.0,Used
51,52,Chevrolet,,2012.0,Red,53823.0,63620.0,New
52,53,Audi,Generic Model 3,2016.0,Blue,119357.0,27208.0,Used
53,54,Mazda,Generic Model 3,2010.0,Silver,171027.0,73455.0,Used
54,55,Jeep,,2007.0,Green,43896.0,,Used
55,56,Audi,Generic Model 2,2013.0,,25430.0,11739.0,New
56,57,Jaguar,Generic Model 3,1996.0,Red,91059.0,,New
57,58,Volkswagen,Generic Model 3,2015.0,Red,135609.0,10294.0,Used
58,59,Land Rover,Generic Model 3,2006.0,Silver,,22233.0,Used
59,60,Land Rover,,1993.0,Black,84926.0,47422.0,Used
60,61,Kia,Generic Model 3,2007.0,,2602.0,72426.0,New
61,62,Hyundai,Generic Model 1,2010.0,Green,197685.0,16883.0,New
62,63,Hyundai,Generic Model 1,2013.0,White,184401.0,,New
63,64,Audi,Generic Model 3,1998.0,,176913.0,35470.0,New
64,65,Toyota,Tacoma,,Green,143274.0,64019.0,
65,66,Hyundai,,1995.0,Black,112620.0,26616.0,Used
66,67,Land Rover,Generic Model 1,2005.0,Black,67598.0,,New
67,68,Volkswagen,Generic Model 1,2002.0,Silver,109234.0,,New
68,69,Volvo,Generic Model 1,,Black,167338.0,70940.0,New
69,70,Lexus,Generic Model 3,2001.0,White,86800.0,56282.0,New
70,71,Ford,,2003.0,Red,36492.0,56295.0,New
71,72,Volkswagen,Generic Model 2,2007.0,White,126341.0,60283.0,Used
72,73,Toyota,RAV4,2018.0,Blue,145610.0,47764.0,New
73,74,Chevrolet,Generic Model 1,1997.0,Silver,47157.0,53782.0,New
74,75,Subaru,Generic Model 1,,White,,31042.0,New
75,76,Jaguar,Generic Model 1,1992.0,White,119281.0,15107.0,New
76,77,Nissan,Generic Model 2,2000.0,Blue,31284.0,50542.0,New
77,78,Land Rover,Generic Model 3,2003.0,White,136990.0,,New
78,79,Ford,F-150,2010.0,Green,,15512.0,Used
79,80,BMW,Generic Model 2,1999.0,Green,150567.0,63735.0,Used
80,81,Mazda,,2022.0,,2998.0,12408.0,New
81,82,Jeep,Generic Model 3,2010.0,,,33307.0,New
82,83,Hyundai,Generic Model 1,2013.0,Red,170123.0,54818.0,Used
83,84,Mercedes-Benz,Generic Model 1,2004.0,,7739.0,42175.0,New
84,85,Toyota,,,Red,,69536.0,
85,86,Toyota,,2014.0,White,154775.0,,New
86,87,Jaguar,Generic Model 3,2021.0,Black,147214.0,67567.0,Used
87,88,Tesla,Generic Model 3,2003.0,,94924.0,16430.0,Used
88,89,Lexus,Generic Model 3,2004.0,Green,21611.0,71571.0,Used
89,90,Hyundai,,2008.0,Green,,19095.0,Used
90,91,Audi,Generic Model 2,2018.0,Black,49024.0,,New
91,92,Volkswagen,Generic Model 3,1996.0,Blue,184042.0,63928.0,Used
92,93,Jeep,Generic Model 3,1990.0,Blue,50730.0,37123.0,Used
93,94,Ford,Focus,1991.0,Silver,94166.0,64353.0,New
94,95,BMW,,2021.0,,136453.0,35350.0,New
95,96,Honda,Odyssey,2011.0,Green,40552.0,38678.0,Used
96,97,Volvo,Generic Model 2,2001.0,Black,150878.0,75753.0,Used
97,98,Hyundai,,1991.0,Red,127833.0,,New
98,99,Toyota,Prius,1998.0,Silver,,40835.0,New
99,100,Volvo,Generic Model 1,1998.0,Blue,153056.0,25295.0,New
100,101,Mercedes-Benz,Generic Model 1,2003.0,Black,,75539.0,New
101,102,Toyota,Prius,1994.0,White,172357.0,5764.0,
102,103,Jeep,Generic Model 1,1996.0,Black,23884.0,23587.0,Used
103,104,Chevrolet,,1999.0,Black,192313.0,70000.0,New
104,105,Ford,F-150,2021.0,Silver,135247.0,21974.0,Used
105,106,Subaru,,2000.0,Green,162270.0,17839.0,New
106,107,Volvo,Generic Model 3,2003.0,Green,,75345.0,New
107,108,Mazda,Generic Model 1,1998.0,,,35692.0,New
108,109,Ford,Focus,1994.0,Blue,132741.0,67509.0,Used
109,110,Volvo,,2018.0,Green,160907.0,20362.0,Used
110,111,Hyundai,Generic Model 2,2018.0,Silver,158961.0,59218.0,Used
111,112,BMW,Generic Model 1,2022.0,Green,32292.0,18561.0,Used
112,113,Nissan,Generic Model 2,2010.0,Silver,144445.0,,Used
113,114,Chevrolet,Generic Model 2,1991.0,Black,148201.0,66481.0,Used
114,115,Jaguar,Generic Model 1,1996.0,Green,19385.0,53228.0,Used
115,116,Porsche,,1996.0,White,47148.0,24865.0,New
116,117,Toyota,Tacoma,2006.0,Green,,,Used
117,118,Volkswagen,Generic Model 3,2002.0,Red,155403.0,44949.0,Used
118,119,Mercedes-Benz,Generic Model 3,,Black,,58955.0,Used
119,120,Jeep,Generic Model 1,1990.0,Green,26840.0,16113.0,New
120,121,Chevrolet,Generic Model 1,,White,,53381.0,New
121,122,Jeep,,2012.0,Silver,94426.0,21914.0,New
122,123,Audi,,1998.0,,47423.0,60030.0,New
123,124,Volvo,Generic Model 3,,White,20031.0,,Used
124,125,Audi,Generic Model 1,2017.0,Red,96581.0,17658.0,Used
125,126,Mazda,,2020.0,,41070.0,14010.0,Used
126,127,Lexus,Generic Model 3,1999.0,Blue,192485.0,35885.0,Used
127,128,Lexus,Generic Model 1,2014.0,White,136972.0,73946.0,Used
128,129,Jaguar,Generic Model 1,2017.0,Blue,152582.0,28252.0,New
129,130,Kia,Generic Model 2,1993.0,Silver,34869.0,63937.0,New
130,131,Ford,Escape,2015.0,Black,5954.0,60334.0,Used
131,132,Ford,F-150,2021.0,Red,33229.0,58111.0,New
132,133,Mercedes-Benz,Generic Model 2,1996.0,Black,21310.0,74204.0,New
133,134,Audi,Generic Model 2,2000.0,Silver,7004.0,75112.0,Used
134,135,Jeep,Generic Model 2,2005.0,Green,77233.0,55002.0,New
135,136,Toyota,Prius,2011.0,Green,77591.0,44449.0,New
136,137,Jaguar,Generic Model 1,2003.0,Blue,11199.0,34731.0,New
137,138,Mercedes-Benz,Generic Model 1,2019.0,Blue,92666.0,45687.0,Used
138,139,Tesla,Generic Model 2,2015.0,White,165337.0,59308.0,Used
139,140,Volvo,,2007.0,Green,,34098.0,New
140,141,Audi,Generic Model 2,2020.0,White,,62364.0,New
141,142,Jaguar,,2013.0,Black,189541.0,55485.0,Used
142,143,Audi,Generic Model 3,2008.0,Silver,172431.0,16251.0,New
143,144,Hyundai,,2016.0,Green,11282.0,,New
144,145,Mercedes-Benz,Generic Model 2,2001.0,Silver,19963.0,8670.0,New
145,146,Mercedes-Benz,,2004.0,Red,7522.0,,New
146,147,Subaru,Generic Model 1,2005.0,Blue,64753.0,10048.0,Used
147,148,Subaru,Generic Model 3,2012.0,White,10264.0,69928.0,New
148,149,Honda,Odyssey,2021.0,White,,61222.0,New
149,150,Jeep,Generic Model 2,2014.0,Green,199453.0,54427.0,Used
150,151,Jeep,Generic Model 2,1991.0,,7297.0,74757.0,
151,152,Hyundai,,,Blue,40977.0,38444.0,Used
152,153,Audi,Generic Model 3,2014.0,Blue,48410.0,35591.0,Used
153,154,Volkswagen,,2004.0,Silver,160584.0,72316.0,Used
154,155,Audi,Generic Model 2,2002.0,Silver,27918.0,20054.0,New
155,156,Lexus,Generic Model 3,2001.0,Silver,16091.0,67174.0,New
156,157,Tesla,Generic Model 3,2019.0,Silver,188500.0,34659.0,New
157,158,Volvo,Generic Model 1,1990.0,Red,12524.0,51232.0,Used
158,159,Jeep,Generic Model 3,2004.0,Black,165765.0,51805.0,Used
159,160,Volvo,Generic Model 1,1995.0,Red,13391.0,30300.0,New
160,161,Land Rover,Generic Model 3,2001.0,Red,136198.0,35574.0,Used
161,162,Mercedes-Benz,Generic Model 3,2002.0,White,11423.0,63583.0,Used
162,163,Mazda,Generic Model 3,1997.0,Red,70253.0,26725.0,New
163,164,Porsche,Generic Model 3,1991.0,Blue,67896.0,36217.0,New
164,165,Honda,Odyssey,2016.0,White,183249.0,51067.0,Used
165,166,Mazda,Generic Model 3,2016.0,Silver,195046.0,32465.0,New
166,167,Mazda,Generic Model 1,2018.0,Red,79387.0,24335.0,New
167,168,BMW,Generic Model 2,2008.0,Silver,187215.0,32491.0,Used
168,169,Tesla,Generic Model 3,1995.0,Black,154867.0,28460.0,New
169,170,Chevrolet,Generic Model 1,1998.0,Blue,175237.0,48044.0,Used
170,171,Jaguar,,,Black,22105.0,43500.0,New
171,172,Land Rover,Generic Model 2,2003.0,,170141.0,24704.0,
172,173,Mazda,Generic Model 1,1997.0,White,32110.0,,New
173,174,Honda,Pilot,2021.0,,156309.0,36418.0,Used
174,175,Subaru,Generic Model 3,,White,,41817.0,New
175,176,Jeep,Generic Model 3,,,186581.0,73685.0,Used
176,177,Mercedes-Benz,Generic Model 3,2003.0,Red,128444.0,39116.0,New
177,178,Land Rover,Generic Model 1,1997.0,Green,91662.0,,Used
178,179,Toyota,Highlander,2020.0,Red,137970.0,,Used
179,180,Mazda,Generic Model 3,2007.0,Silver,24646.0,48569.0,Used
180,181,Lexus,Generic Model 2,1995.0,Green,41340.0,65071.0,Used
181,182,Volvo,Generic Model 3,2011.0,Green,101561.0,57409.0,New
182,183,Subaru,Generic Model 2,2022.0,,123643.0,25894.0,New
183,184,Jaguar,,,Silver,149814.0,38056.0,Used
184,185,Mazda,Generic Model 1,2022.0,Red,,,Used
185,186,Kia,,1999.0,Silver,135354.0,20919.0,New
186,187,Porsche,,,White,29565.0,57703.0,New
187,188,Jeep,Generic Model 1,2010.0,Blue,58628.0,8218.0,Used
188,189,Audi,Generic Model 3,1992.0,Red,147047.0,46455.0,New
189,190,Ford,Focus,2019.0,Green,59756.0,8794.0,New
